
Sense HAT Test Program ...

nAcceleration:  X =  , Y =  , Z = 

  -125,   -555,   16610


  -188,   -606,   16674


  -211,   -503,   16658


  -179,   -506,   16614


  -165,   -566,   16618


  -157,   -566,   16620


  -155,   -560,   16643


  -168,   -566,   16636


  -153,   -547,   16624


  8847,   26604,   20101


  2491,   25247,   18036


  3321,   5847,   15963


  -7418,   -32767,   22671


  -3445,   -32768,   13843


  -1294,   -11486,   23327


  2500,   -27793,   26736


  -6717,   -32768,   12998


  -4709,   -32767,   28969


  -3108,   31714,   11008


  2015,   27115,   14247


  -3248,   22409,   16407


  594,   -13279,   23327


  -4280,   -23412,   27752


  2249,   10972,   24103


  1732,   -32768,   12218


  -2534,   21293,   21713


  -4769,   -8498,   22523


  825,   26057,   19184


  -12398,   -28469,   19665


  -7861,   3179,   27252


  -5284,   19782,   23995


  -9584,   -20303,   22427


  -4202,   -7614,   21824


  -4767,   25199,   19055


  -6157,   -32768,   22947


  -15994,   -21540,   21114


  -6521,   -19036,   22147


  -5728,   22727,   19537


  -4761,   20551,   20167


  -12809,   12126,   29269


  -11049,   24262,   27279


  -7918,   2187,   23044


  -14513,   -32767,   20805


  -14877,   -15579,   28609


  -9162,   -32768,   16578


  -18371,   -29997,   23587


  -9073,   14889,   24113


  -6195,   732,   18474


  -146,   -635,   16631


  -115,   -469,   16633


  143,   -433,   16654


  30,   -677,   16621


  -40,   -647,   16681


  -24,   -480,   16677


  -77,   -535,   16630


  -100,   -584,   16623


  -125,   -576,   16618


  -123,   -582,   16628


  -140,   -540,   16609


  -128,   -591,   16630


  -144,   -592,   16642


  -141,   -575,   16620


  -135,   -570,   16626


  -140,   -574,   16629


  -159,   -574,   16659


  -169,   -604,   16643


  -236,   -575,   16686


  -160,   -617,   16666


  -138,   -591,   16628


  -160,   -569,   16607


  -157,   -560,   16691


  -214,   -594,   16647


  -197,   -576,   16581


  -175,   -601,   16648


  -164,   -588,   16648


  -145,   -576,   16610


  -150,   -616,   16711


  -197,   -593,   16644


  -180,   -545,   16689


  -138,   -579,   16614


  -141,   -572,   16640


  -110,   -549,   16604


  -115,   -521,   16680


  -102,   -597,   16664


  -126,   -590,   16619


  -156,   -562,   16599


  -120,   -524,   16676


  -109,   -584,   16631


  -94,   -602,   16592


  -98,   -531,   16636


  -126,   -582,   16642


  -123,   -633,   16645


  -128,   -574,   16632


  -137,   -558,   16633


  -149,   -558,   16663


  -173,   -614,   16678


  -142,   -596,   16680


  -136,   -581,   16621


  -139,   -547,   16620


  -137,   -590,   16622

