
Sense HAT Test Program ...

nAcceleration:  X =  , Y =  , Z = 

  313,-9098,14069


  382,-9035,14033


  204,-9131,14034


  399,-9089,13955


  233,-9090,14023


  285,-9088,14019


  283,-9158,14048


  336,-9165,13999


  253,-9154,14032


  347,-9170,13894


  544,-9124,13896


  393,-9088,13986


  544,-9178,13805


  417,-9227,13978


  243,-9193,13956


  303,-9141,13780


  274,-9222,13836


  319,-9179,14000


  323,-9195,13943


  247,-9096,13972


  291,-9209,13990


  346,-9224,13976


  322,-9202,13979


  342,-9226,13976


  334,-9201,13952


  336,-9203,13971


  323,-9212,13976


  324,-9213,13944


  338,-9201,13943


  349,-9237,13927


  358,-9218,13929


  329,-9203,13942


  315,-9232,13947


  331,-9209,13941


  336,-9199,13947


  325,-9220,13951


  321,-9208,13941


  329,-9226,13943


  337,-9230,13944


  324,-9215,13954


  327,-9209,13967


  325,-9259,13983


  338,-9203,13974


  345,-9204,13972


  326,-9244,13959


  316,-9225,13930


  350,-9207,13977


  359,-9207,13969


  343,-9186,13941


  334,-9197,13957


  322,-9199,13972


  336,-9222,13959


  264,-9255,14021


  240,-9214,14055


  467,-9264,13858


  374,-9159,13993


  420,-9199,13948


  366,-9190,13965


  351,-9212,13982


  400,-9187,13965


  288,-9160,14003


  396,-9168,14030


  362,-9167,13892


  360,-9186,13981


  316,-9208,13967


  329,-9128,13986


  247,-9025,14085


  344,-9111,13889


  411,-9163,13956


  320,-9104,14032


  362,-9117,13988


  350,-9179,13980


  326,-9153,13997


  344,-9152,14009


  345,-9147,14015


  323,-9160,14002


  345,-9117,14021


  324,-9145,13991


  316,-9138,14005


  307,-9144,13983


  319,-9163,13990


  344,-9156,14007


  333,-9164,13991


  318,-9136,14000


  328,-9131,13996


  328,-9133,14015


  370,-9138,13978


  322,-9157,13998


  730,-9420,13783


  640,-9750,13683


  705,-9543,13686


  675,-9301,13917


  567,-9290,13848


  463,-9239,13965


  488,-9268,13871


  474,-9358,13865


  499,-9408,13829


  530,-9427,13818


  492,-9483,13769


  545,-9568,13664

