
Sense HAT Test Program ...

nAcceleration:  X =  , Y =  , Z = 

 -59,-17,-20


 69,-13,-28


 55,-35,-34


 -9,-8,-27


 42,17,-6


 9,11,-11


 30,1,-17


 45,21,-10


 97,51,2


 -105,6,-40


 38,-65,-13


 39,-3,-19


 41,7,-7


 38,9,-6


 40,5,-6


 35,6,-10


 35,11,-5


 28,6,-14


 25,10,-13


 37,9,-8


 37,8,-7


 48,10,-4


 42,10,-6


 36,7,-10


 38,10,-7


 39,8,-7


 32,6,-10


 31,10,-9


 42,12,-2


 46,12,1


 33,4,-13


 43,5,-9


 37,10,-7


 36,6,-8


 36,10,-4


 37,11,-7


 32,9,-8


 39,11,-4


 46,7,-4


 38,8,-7


 40,10,-3


 41,6,-9


 36,7,-10


 39,9,-6


 35,7,-8


 37,7,-10


 35,7,-10


 42,7,-8


 39,8,-7


 37,11,-7


 36,11,-5


 38,8,-8


 39,8,-10


 35,8,-9


 47,13,-4


 33,6,-9


 42,8,-5


 41,12,-2


 38,7,-9


 39,9,-5


 41,10,-8


 36,8,-9


 31,6,-11


 35,9,-8


 42,8,-4


 39,11,-3


 39,9,-7


 37,6,-8


 39,10,-7


 37,7,-7


 31,8,-10


 35,12,-5


 38,10,-6


 48,10,-2


 41,8,-9


 38,6,-7


 36,8,-5


 37,8,-8


 41,7,-8


 37,5,-9


 33,5,-12


 38,7,-6


 52,8,-5


 36,9,-6


 41,10,-5


 38,9,-6


 42,7,-9


 34,10,-9


 34,5,-11


 29,6,-11


 54,10,1


 34,8,-5


 32,10,-9


 39,7,-8


 41,10,-4


 34,7,-10


 31,8,-10


 38,7,-9


 44,8,-5


 42,6,-8

