
 -1381,1672,4914


 -1460,1319,1870


 6556,-8299,-9139


 -9051,5298,15239


 1705,-3255,-10473


 -502,3203,7103


 -839,-1768,-5516


 5336,-5202,-13289


 -787,-75,2049


 -3100,8021,13975


 95,-3418,-5723


 7007,-11563,-12133


 -6505,7586,10173


 -2559,7810,9661


 642,-2387,-4253


 1274,-3316,-7293


 4657,-4091,-11381


 4550,-6744,-13624


 2259,-3442,63


 -5622,7864,14106


 20,-2497,-8616


 4197,-8735,-9000


 -4475,4835,9107


 -62,-2166,-7603


 5546,-6004,-9595


 -2939,4882,8244


 -2159,-1259,-4544


 7539,-4737,-11471


 -6848,10326,13096


 168,-4484,-9635


 6000,-4136,-12242


 1957,-721,4145


 -8112,8692,17155


 54,-3592,-7207


 13446,-7244,-13984


 -9160,7588,15468


 1484,-3130,-7713


 8890,-6501,-9710


 -12050,8218,17034


 2024,-3315,-15117


 -7236,5667,12860


 1368,-2569,-8204


 4879,-1012,4870


 -2288,1836,-46


 2566,969,-12933


 4415,-440,4025


 -10984,3497,6725


 3489,2952,-13909


 -3843,2689,11552


 2753,2972,-10451


 4816,-309,5665


 -5867,-452,4349


 8276,2454,-14007


 -13406,700,16682


 1708,4586,-12406


 -782,487,7115


 -4336,-1807,753


 10386,2382,-13140


 -5748,2474,13211


 -8597,-539,10016


 -1529,-1882,-3293


 1159,-996,-11061


 2994,495,-13992


 8040,-943,-6929


 -6571,3077,13958


 -2472,14,3149


 849,-236,-11209


 8267,-1315,-6598


 -6271,1203,15909


 -453,-1155,-4067


 961,3153,-16537


 7146,1146,1914


 -13847,-1147,18117


 -471,-306,-6606


 10129,-507,-12071


 -6383,1244,14751


 919,-205,-4314


 4524,2111,-15888


 4602,1263,3894


 1868,143,4249


 -7909,589,14664


 -3230,-1376,6234


 -1127,-456,-2628


 1719,2505,-12400


 1317,1573,6594


 -6747,467,14881


 590,-1687,-7922


 3045,-822,1597


 -3936,-753,11387


 -833,2632,-12090


 2922,1225,4136


 -12567,-1304,10661


 2119,797,-16570


 -461,4612,10727


 -5174,-382,13075


 -2079,1401,-10570


 9952,181,-13252


 -2448,2573,11765


 -4320,-1297,7273


 -189,2030,-13258

