
Pressure Sensor Test Program ...

Pressure = 1011.90 hPa , Temperature =  25.13 °C

Pressure = 1011.90 hPa , Temperature =  25.03 °C

Pressure = 1011.91 hPa , Temperature =  25.04 °C

Pressure = 1011.90 hPa , Temperature =  25.05 °C

Pressure = 1011.90 hPa , Temperature =  25.04 °C

Pressure = 1011.90 hPa , Temperature =  25.05 °C

Pressure = 1011.88 hPa , Temperature =  25.05 °C

Pressure = 1011.87 hPa , Temperature =  25.05 °C

Pressure = 1011.91 hPa , Temperature =  25.04 °C

Pressure = 1011.87 hPa , Temperature =  25.06 °C

Pressure = 1011.91 hPa , Temperature =  25.06 °C

Pressure = 1011.86 hPa , Temperature =  25.06 °C

Pressure = 1011.89 hPa , Temperature =  25.07 °C

Pressure = 1011.89 hPa , Temperature =  25.06 °C

Pressure = 1011.88 hPa , Temperature =  25.07 °C

Pressure = 1011.90 hPa , Temperature =  25.07 °C

Pressure = 1011.89 hPa , Temperature =  25.07 °C

Pressure = 1011.93 hPa , Temperature =  25.07 °C

Pressure = 1011.89 hPa , Temperature =  25.08 °C

Pressure = 1011.91 hPa , Temperature =  25.08 °C

Pressure = 1011.88 hPa , Temperature =  25.08 °C

Pressure = 1011.89 hPa , Temperature =  25.08 °C

Pressure = 1011.90 hPa , Temperature =  25.08 °C

Pressure = 1011.90 hPa , Temperature =  25.08 °C

Pressure = 1011.91 hPa , Temperature =  25.09 °C

Pressure = 1011.89 hPa , Temperature =  25.09 °C

Pressure = 1011.91 hPa , Temperature =  25.09 °C

Pressure = 1011.88 hPa , Temperature =  25.08 °C

Pressure = 1011.91 hPa , Temperature =  25.08 °C

Pressure = 1011.89 hPa , Temperature =  25.08 °C

Pressure = 1011.91 hPa , Temperature =  25.08 °C

Pressure = 1011.91 hPa , Temperature =  25.08 °C

Pressure = 1011.90 hPa , Temperature =  25.10 °C

Pressure = 1011.93 hPa , Temperature =  25.10 °C

Pressure = 1011.90 hPa , Temperature =  25.10 °C

Pressure = 1011.91 hPa , Temperature =  25.10 °C

Pressure = 1011.92 hPa , Temperature =  25.11 °C

Pressure = 1011.92 hPa , Temperature =  25.12 °C

Pressure = 1011.92 hPa , Temperature =  25.12 °C

Pressure = 1011.91 hPa , Temperature =  25.12 °C

Pressure = 1011.88 hPa , Temperature =  25.13 °C

Pressure = 1011.88 hPa , Temperature =  25.13 °C

Pressure = 1011.93 hPa , Temperature =  25.14 °C

Pressure = 1011.90 hPa , Temperature =  25.84 °C

Pressure = 1011.94 hPa , Temperature =  26.49 °C

Pressure = 1011.94 hPa , Temperature =  27.31 °C

Pressure = 1011.97 hPa , Temperature =  27.91 °C

Pressure = 1012.00 hPa , Temperature =  28.27 °C

Pressure = 1011.95 hPa , Temperature =  28.51 °C

Pressure = 1011.98 hPa , Temperature =  28.59 °C

Pressure = 1011.99 hPa , Temperature =  28.65 °C

Pressure = 1011.99 hPa , Temperature =  28.72 °C

Pressure = 1011.95 hPa , Temperature =  28.65 °C

Pressure = 1012.00 hPa , Temperature =  28.68 °C

Pressure = 1011.96 hPa , Temperature =  28.61 °C

Pressure = 1011.94 hPa , Temperature =  28.57 °C

Pressure = 1011.95 hPa , Temperature =  28.63 °C

Pressure = 1011.97 hPa , Temperature =  28.70 °C

Pressure = 1011.95 hPa , Temperature =  28.80 °C

Pressure = 1011.93 hPa , Temperature =  28.93 °C

Pressure = 1011.90 hPa , Temperature =  28.66 °C

Pressure = 1011.93 hPa , Temperature =  28.35 °C

Pressure = 1011.89 hPa , Temperature =  28.06 °C

Pressure = 1011.88 hPa , Temperature =  27.80 °C

Pressure = 1011.89 hPa , Temperature =  27.51 °C

Pressure = 1011.90 hPa , Temperature =  27.74 °C

Pressure = 1011.91 hPa , Temperature =  28.19 °C

Pressure = 1011.89 hPa , Temperature =  28.38 °C

Pressure = 1011.89 hPa , Temperature =  28.66 °C

Pressure = 1011.96 hPa , Temperature =  28.99 °C

Pressure = 1011.89 hPa , Temperature =  29.29 °C

Pressure = 1011.89 hPa , Temperature =  29.19 °C

Pressure = 1011.91 hPa , Temperature =  28.89 °C

Pressure = 1011.89 hPa , Temperature =  28.52 °C

Pressure = 1011.87 hPa , Temperature =  28.26 °C

Pressure = 1011.90 hPa , Temperature =  27.96 °C

Pressure = 1011.88 hPa , Temperature =  27.78 °C

Pressure = 1011.88 hPa , Temperature =  27.63 °C

Pressure = 1011.87 hPa , Temperature =  27.90 °C

Pressure = 1011.89 hPa , Temperature =  28.13 °C

Pressure = 1011.88 hPa , Temperature =  28.34 °C

Pressure = 1011.92 hPa , Temperature =  28.59 °C

Pressure = 1011.90 hPa , Temperature =  28.71 °C

Pressure = 1011.91 hPa , Temperature =  28.49 °C

Pressure = 1011.89 hPa , Temperature =  28.23 °C

Pressure = 1011.96 hPa , Temperature =  27.99 °C

Pressure = 1011.88 hPa , Temperature =  27.83 °C

Pressure = 1011.87 hPa , Temperature =  27.68 °C

Pressure = 1011.90 hPa , Temperature =  27.56 °C

Pressure = 1011.88 hPa , Temperature =  27.48 °C

Pressure = 1011.91 hPa , Temperature =  27.80 °C

Pressure = 1011.89 hPa , Temperature =  28.26 °C

Pressure = 1011.94 hPa , Temperature =  28.71 °C

Pressure = 1011.92 hPa , Temperature =  29.06 °C

Pressure = 1011.91 hPa , Temperature =  29.35 °C

Pressure = 1011.95 hPa , Temperature =  29.50 °C

Pressure = 1011.92 hPa , Temperature =  29.65 °C

Pressure = 1011.91 hPa , Temperature =  29.83 °C

Pressure = 1011.90 hPa , Temperature =  29.86 °C

Pressure = 1011.92 hPa , Temperature =  29.68 °C

Pressure = 1011.90 hPa , Temperature =  29.42 °C

Pressure = 1011.95 hPa , Temperature =  29.14 °C

Pressure = 1011.90 hPa , Temperature =  28.92 °C

Pressure = 1011.89 hPa , Temperature =  28.73 °C

Pressure = 1011.91 hPa , Temperature =  28.59 °C

Pressure = 1011.88 hPa , Temperature =  28.44 °C

Pressure = 1011.92 hPa , Temperature =  28.21 °C

Pressure = 1011.88 hPa , Temperature =  28.11 °C

Pressure = 1011.94 hPa , Temperature =  28.15 °C

Pressure = 1011.98 hPa , Temperature =  28.71 °C

Pressure = 1011.96 hPa , Temperature =  29.34 °C

Pressure = 1012.00 hPa , Temperature =  29.83 °C

Pressure = 1011.94 hPa , Temperature =  30.21 °C

Pressure = 1011.98 hPa , Temperature =  30.40 °C

Pressure = 1011.93 hPa , Temperature =  30.32 °C

Pressure = 1011.91 hPa , Temperature =  30.03 °C

Pressure = 1011.94 hPa , Temperature =  29.64 °C

Pressure = 1011.93 hPa , Temperature =  29.30 °C

Pressure = 1011.93 hPa , Temperature =  29.06 °C

Pressure = 1011.92 hPa , Temperature =  28.89 °C

